id,address,city,state,price,beds,baths,sqft,remarks,agent_id,list_date,media_urls,price_per_sqft
MLS-TX-1000,"960 Cedar Ct, Frisco, TX",Frisco,TX,803788.0,3,3.0,3892.0,"quiet cul-de-sac, two-car garage, near good schools, vaulted ceilings, updated kitchen, hoa includes pool",AG7396,2025-07-14,"[""https://picsum.photos/seed/0/1200/800""]",206.52312435765674
MLS-CA-1001,"2658 Elm Dr, Santa Clara, CA",Santa Clara,CA,1908765.0,3,2.0,3547.0,"fresh paint, new roof 2022, large backyard, hoa includes pool, quiet cul-de-sac",AG3612,2024-12-05,"[""https://picsum.photos/seed/1/1200/800""]",538.1350436989005
MLS-CA-1002,"7199 Birch Way, Mountain View, CA",Mountain View,CA,507705.0,4,3.0,1575.0,"updated kitchen, stainless appliances, fresh paint, new roof 2022, near good schools",AG1995,2024-09-26,"[""https://picsum.photos/seed/2/1200/800""]",322.35238095238094
MLS-TX-1003,"7729 Walnut Blvd, Frisco, TX",Frisco,TX,1016982.0,4,1.0,3143.0,"granite counters, new roof 2022, tile flooring, quiet cul-de-sac",AG6892,2025-05-04,"[""https://picsum.photos/seed/3/1200/800""]",323.5704740693605
MLS-TX-1004,"6284 Oak Ave, Frisco, TX",Frisco,TX,682810.0,4,1.0,2663.0,"two-car garage, hardwood floors, vaulted ceilings, fresh paint",AG6977,2025-07-07,"[""https://picsum.photos/seed/4/1200/800""]",256.40630867442735
MLS-CA-1005,"7958 Pine Rd, Mountain View, CA",Mountain View,CA,1147639.0,2,2.0,1820.0,"large backyard, quiet cul-de-sac, updated kitchen, near good schools, fresh paint",AG3693,2024-01-28,"[""https://picsum.photos/seed/5/1200/800""]",630.5708791208791
MLS-CA-1006,"9655 Cedar Ct, Mountain View, CA",Mountain View,CA,1100315.0,5,3.0,2154.0,"primary suite, solar panels, walk to park, quiet cul-de-sac, hardwood floors, granite counters",AG2495,2024-08-20,"[""https://picsum.photos/seed/6/1200/800""]",510.82404828226555
MLS-CA-1007,"1953 Maple St, Mountain View, CA",Mountain View,CA,627619.0,2,2.0,1363.0,"two-car garage, hardwood floors, quiet cul-de-sac, ev charger, near good schools, solar panels",AG6172,2025-02-19,"[""https://picsum.photos/seed/7/1200/800""]",460.4688187820983
MLS-TX-1008,"3610 Cedar Ct, Frisco, TX",Frisco,TX,364556.0,3,2.0,1200.0,"hoa includes pool, corner lot, tile flooring, ev charger",AG9338,2024-05-27,"[""https://picsum.photos/seed/8/1200/800""]",303.7966666666667
MLS-TX-1009,"1943 Birch Way, Dallas, TX",Dallas,TX,678010.0,2,1.0,2759.0,"walk to park, two-car garage, corner lot, fresh paint, tile flooring",AG8400,2024-04-08,"[""https://picsum.photos/seed/9/1200/800""]",245.7448350851758
